grappe	hhweight	hid	department	admin2
8	15	801	Tchighozerine	Tchighozerine
8	15	803	Tchighozerine	Tchighozerine
8	15	807	Tchighozerine	Tchighozerine
8	15	808	Tchighozerine	Tchighozerine
8	15	809	Tchighozerine	Tchighozerine
8	15	811	Tchighozerine	Tchighozerine
8	15	812	Tchighozerine	Tchighozerine
8	15	813	Tchighozerine	Tchighozerine
8	15	816	Tchighozerine	Tchighozerine
8	15	817	Tchighozerine	Tchighozerine
8	15	818	Tchighozerine	Tchighozerine
9	89	901	Tchighozerine	Tchighozerine
9	89	902	Tchighozerine	Tchighozerine
9	89	903	Tchighozerine	Tchighozerine
9	89	904	Tchighozerine	Tchighozerine
9	89	905	Tchighozerine	Tchighozerine
9	89	906	Tchighozerine	Tchighozerine
9	89	907	Tchighozerine	Tchighozerine
9	89	908	Tchighozerine	Tchighozerine
9	89	909	Tchighozerine	Tchighozerine
9	89	912	Tchighozerine	Tchighozerine
9	89	913	Tchighozerine	Tchighozerine
9	89	914	Tchighozerine	Tchighozerine
9	89	915	Tchighozerine	Tchighozerine
9	89	916	Tchighozerine	Tchighozerine
9	89	917	Tchighozerine	Tchighozerine
9	89	918	Tchighozerine	Tchighozerine
10	187	1002	Tchighozerine	Tchighozerine
10	187	1003	Tchighozerine	Tchighozerine
10	187	1004	Tchighozerine	Tchighozerine
10	187	1005	Tchighozerine	Tchighozerine
10	187	1006	Tchighozerine	Tchighozerine
10	187	1008	Tchighozerine	Tchighozerine
10	187	1009	Tchighozerine	Tchighozerine
10	187	1010	Tchighozerine	Tchighozerine
10	187	1011	Tchighozerine	Tchighozerine
10	187	1012	Tchighozerine	Tchighozerine
10	187	1013	Tchighozerine	Tchighozerine
10	187	1014	Tchighozerine	Tchighozerine
10	187	1015	Tchighozerine	Tchighozerine
10	187	1016	Tchighozerine	Tchighozerine
10	187	1017	Tchighozerine	Tchighozerine
10	187	1018	Tchighozerine	Tchighozerine
11	449	1103	Tchighozerine	Tchighozerine
11	449	1105	Tchighozerine	Tchighozerine
11	449	1106	Tchighozerine	Tchighozerine
11	449	1107	Tchighozerine	Tchighozerine
11	449	1108	Tchighozerine	Tchighozerine
11	449	1109	Tchighozerine	Tchighozerine
11	449	1111	Tchighozerine	Tchighozerine
11	449	1113	Tchighozerine	Tchighozerine
11	449	1114	Tchighozerine	Tchighozerine
11	449	1115	Tchighozerine	Tchighozerine
12	93	1201	Tchighozerine	Tchighozerine
12	93	1202	Tchighozerine	Tchighozerine
12	93	1203	Tchighozerine	Tchighozerine
12	93	1206	Tchighozerine	Tchighozerine
12	93	1207	Tchighozerine	Tchighozerine
12	93	1208	Tchighozerine	Tchighozerine
12	93	1209	Tchighozerine	Tchighozerine
12	93	1210	Tchighozerine	Tchighozerine
12	93	1211	Tchighozerine	Tchighozerine
12	93	1212	Tchighozerine	Tchighozerine
12	93	1213	Tchighozerine	Tchighozerine
12	93	1214	Tchighozerine	Tchighozerine
12	93	1215	Tchighozerine	Tchighozerine
12	93	1216	Tchighozerine	Tchighozerine
12	93	1217	Tchighozerine	Tchighozerine
12	93	1218	Tchighozerine	Tchighozerine
13	73	1301	Tchighozerine	Tchighozerine
13	73	1302	Tchighozerine	Tchighozerine
13	73	1303	Tchighozerine	Tchighozerine
13	73	1304	Tchighozerine	Tchighozerine
13	73	1305	Tchighozerine	Tchighozerine
13	73	1306	Tchighozerine	Tchighozerine
13	73	1307	Tchighozerine	Tchighozerine
13	73	1310	Tchighozerine	Tchighozerine
13	73	1312	Tchighozerine	Tchighozerine
13	73	1314	Tchighozerine	Tchighozerine
13	73	1315	Tchighozerine	Tchighozerine
13	73	1316	Tchighozerine	Tchighozerine
13	73	1317	Tchighozerine	Tchighozerine
13	73	1318	Tchighozerine	Tchighozerine
14	94	1402	Tchighozerine	Tchighozerine
14	94	1403	Tchighozerine	Tchighozerine
14	94	1404	Tchighozerine	Tchighozerine
14	94	1410	Tchighozerine	Tchighozerine
14	94	1411	Tchighozerine	Tchighozerine
14	94	1412	Tchighozerine	Tchighozerine
14	94	1413	Tchighozerine	Tchighozerine
14	94	1414	Tchighozerine	Tchighozerine
14	94	1415	Tchighozerine	Tchighozerine
14	94	1416	Tchighozerine	Tchighozerine
14	94	1417	Tchighozerine	Tchighozerine
14	94	1418	Tchighozerine	Tchighozerine
15	70	1501	Tchighozerine	Tchighozerine
15	70	1502	Tchighozerine	Tchighozerine
15	70	1503	Tchighozerine	Tchighozerine
15	70	1504	Tchighozerine	Tchighozerine
15	70	1505	Tchighozerine	Tchighozerine
15	70	1506	Tchighozerine	Tchighozerine
15	70	1507	Tchighozerine	Tchighozerine
15	70	1508	Tchighozerine	Tchighozerine
15	70	1509	Tchighozerine	Tchighozerine
15	70	1510	Tchighozerine	Tchighozerine
15	70	1511	Tchighozerine	Tchighozerine
15	70	1512	Tchighozerine	Tchighozerine
15	70	1513	Tchighozerine	Tchighozerine
15	70	1514	Tchighozerine	Tchighozerine
15	70	1515	Tchighozerine	Tchighozerine
15	70	1516	Tchighozerine	Tchighozerine
15	70	1517	Tchighozerine	Tchighozerine
15	70	1518	Tchighozerine	Tchighozerine
16	35	1606	Tchighozerine	Tchighozerine
16	35	1607	Tchighozerine	Tchighozerine
16	35	1608	Tchighozerine	Tchighozerine
16	35	1609	Tchighozerine	Tchighozerine
16	35	1610	Tchighozerine	Tchighozerine
16	35	1611	Tchighozerine	Tchighozerine
16	35	1612	Tchighozerine	Tchighozerine
16	35	1613	Tchighozerine	Tchighozerine
16	35	1614	Tchighozerine	Tchighozerine
16	35	1615	Tchighozerine	Tchighozerine
16	35	1616	Tchighozerine	Tchighozerine
16	35	1617	Tchighozerine	Tchighozerine
16	35	1618	Tchighozerine	Tchighozerine
17	83	1701	Tchighozerine	Tchighozerine
17	83	1703	Tchighozerine	Tchighozerine
17	83	1706	Tchighozerine	Tchighozerine
17	83	1707	Tchighozerine	Tchighozerine
17	83	1708	Tchighozerine	Tchighozerine
17	83	1709	Tchighozerine	Tchighozerine
17	83	1710	Tchighozerine	Tchighozerine
17	83	1711	Tchighozerine	Tchighozerine
17	83	1712	Tchighozerine	Tchighozerine
17	83	1713	Tchighozerine	Tchighozerine
17	83	1714	Tchighozerine	Tchighozerine
17	83	1715	Tchighozerine	Tchighozerine
17	83	1716	Tchighozerine	Tchighozerine
17	83	1717	Tchighozerine	Tchighozerine
17	83	1718	Tchighozerine	Tchighozerine
18	48	1804	Tchighozerine	Tchighozerine
18	48	1805	Tchighozerine	Tchighozerine
18	48	1806	Tchighozerine	Tchighozerine
18	48	1807	Tchighozerine	Tchighozerine
18	48	1808	Tchighozerine	Tchighozerine
18	48	1809	Tchighozerine	Tchighozerine
18	48	1813	Tchighozerine	Tchighozerine
18	48	1814	Tchighozerine	Tchighozerine
18	48	1815	Tchighozerine	Tchighozerine
18	48	1816	Tchighozerine	Tchighozerine
19	123	1907	Tchighozerine	Tchighozerine
19	123	1908	Tchighozerine	Tchighozerine
19	123	1909	Tchighozerine	Tchighozerine
19	123	1910	Tchighozerine	Tchighozerine
19	123	1911	Tchighozerine	Tchighozerine
19	123	1912	Tchighozerine	Tchighozerine
19	123	1913	Tchighozerine	Tchighozerine
19	123	1914	Tchighozerine	Tchighozerine
19	123	1915	Tchighozerine	Tchighozerine
19	123	1916	Tchighozerine	Tchighozerine
19	123	1917	Tchighozerine	Tchighozerine
19	123	1918	Tchighozerine	Tchighozerine
20	106	2003	Tchighozerine	Tchighozerine
20	106	2004	Tchighozerine	Tchighozerine
20	106	2005	Tchighozerine	Tchighozerine
20	106	2006	Tchighozerine	Tchighozerine
20	106	2008	Tchighozerine	Tchighozerine
20	106	2009	Tchighozerine	Tchighozerine
20	106	2010	Tchighozerine	Tchighozerine
20	106	2011	Tchighozerine	Tchighozerine
20	106	2013	Tchighozerine	Tchighozerine
20	106	2014	Tchighozerine	Tchighozerine
20	106	2015	Tchighozerine	Tchighozerine
20	106	2016	Tchighozerine	Tchighozerine
20	106	2017	Tchighozerine	Tchighozerine
21	69	2101	Tchighozerine	Tchighozerine
21	69	2102	Tchighozerine	Tchighozerine
21	69	2103	Tchighozerine	Tchighozerine
21	69	2104	Tchighozerine	Tchighozerine
21	69	2106	Tchighozerine	Tchighozerine
21	69	2109	Tchighozerine	Tchighozerine
21	69	2111	Tchighozerine	Tchighozerine
21	69	2112	Tchighozerine	Tchighozerine
21	69	2113	Tchighozerine	Tchighozerine
21	69	2114	Tchighozerine	Tchighozerine
21	69	2115	Tchighozerine	Tchighozerine
22	60	2201	Tchighozerine	Tchighozerine
22	60	2203	Tchighozerine	Tchighozerine
22	60	2204	Tchighozerine	Tchighozerine
22	60	2205	Tchighozerine	Tchighozerine
22	60	2207	Tchighozerine	Tchighozerine
22	60	2208	Tchighozerine	Tchighozerine
22	60	2209	Tchighozerine	Tchighozerine
22	60	2210	Tchighozerine	Tchighozerine
22	60	2211	Tchighozerine	Tchighozerine
22	60	2212	Tchighozerine	Tchighozerine
22	60	2213	Tchighozerine	Tchighozerine
22	60	2214	Tchighozerine	Tchighozerine
22	60	2215	Tchighozerine	Tchighozerine
22	60	2216	Tchighozerine	Tchighozerine
22	60	2218	Tchighozerine	Tchighozerine
23	113	2301	Tchighozerine	Tchighozerine
23	113	2302	Tchighozerine	Tchighozerine
23	113	2304	Tchighozerine	Tchighozerine
23	113	2305	Tchighozerine	Tchighozerine
23	113	2306	Tchighozerine	Tchighozerine
23	113	2307	Tchighozerine	Tchighozerine
23	113	2308	Tchighozerine	Tchighozerine
23	113	2309	Tchighozerine	Tchighozerine
23	113	2310	Tchighozerine	Tchighozerine
23	113	2317	Tchighozerine	Tchighozerine
23	113	2318	Tchighozerine	Tchighozerine
24	91	2401	Tchighozerine	Tchighozerine
24	91	2402	Tchighozerine	Tchighozerine
24	91	2403	Tchighozerine	Tchighozerine
24	91	2404	Tchighozerine	Tchighozerine
24	91	2405	Tchighozerine	Tchighozerine
24	91	2407	Tchighozerine	Tchighozerine
24	91	2409	Tchighozerine	Tchighozerine
24	91	2411	Tchighozerine	Tchighozerine
24	91	2414	Tchighozerine	Tchighozerine
24	91	2416	Tchighozerine	Tchighozerine
24	91	2417	Tchighozerine	Tchighozerine
25	69	2505	Tchighozerine	Tchighozerine
25	69	2506	Tchighozerine	Tchighozerine
25	69	2507	Tchighozerine	Tchighozerine
25	69	2508	Tchighozerine	Tchighozerine
25	69	2509	Tchighozerine	Tchighozerine
25	69	2510	Tchighozerine	Tchighozerine
25	69	2511	Tchighozerine	Tchighozerine
25	69	2512	Tchighozerine	Tchighozerine
25	69	2513	Tchighozerine	Tchighozerine
25	69	2514	Tchighozerine	Tchighozerine
25	69	2515	Tchighozerine	Tchighozerine
25	69	2516	Tchighozerine	Tchighozerine
25	69	2517	Tchighozerine	Tchighozerine
25	69	2518	Tchighozerine	Tchighozerine
26	88	2607	Tchighozerine	Tchighozerine
26	88	2608	Tchighozerine	Tchighozerine
26	88	2609	Tchighozerine	Tchighozerine
26	88	2610	Tchighozerine	Tchighozerine
26	88	2611	Tchighozerine	Tchighozerine
26	88	2612	Tchighozerine	Tchighozerine
26	88	2613	Tchighozerine	Tchighozerine
26	88	2614	Tchighozerine	Tchighozerine
26	88	2615	Tchighozerine	Tchighozerine
26	88	2616	Tchighozerine	Tchighozerine
26	88	2617	Tchighozerine	Tchighozerine
26	88	2618	Tchighozerine	Tchighozerine
27	95	2701	Tchighozerine	Tchighozerine
27	95	2702	Tchighozerine	Tchighozerine
27	95	2703	Tchighozerine	Tchighozerine
27	95	2704	Tchighozerine	Tchighozerine
27	95	2705	Tchighozerine	Tchighozerine
27	95	2706	Tchighozerine	Tchighozerine
27	95	2710	Tchighozerine	Tchighozerine
27	95	2711	Tchighozerine	Tchighozerine
27	95	2713	Tchighozerine	Tchighozerine
27	95	2714	Tchighozerine	Tchighozerine
27	95	2715	Tchighozerine	Tchighozerine
27	95	2716	Tchighozerine	Tchighozerine
27	95	2717	Tchighozerine	Tchighozerine
31	502	3101	Diffa	Diffa
31	502	3102	Diffa	Diffa
31	502	3103	Diffa	Diffa
31	502	3104	Diffa	Diffa
31	502	3105	Diffa	Diffa
31	502	3106	Diffa	Diffa
31	502	3108	Diffa	Diffa
31	502	3109	Diffa	Diffa
31	502	3110	Diffa	Diffa
31	502	3111	Diffa	Diffa
31	502	3112	Diffa	Diffa
31	502	3113	Diffa	Diffa
31	502	3115	Diffa	Diffa
31	502	3116	Diffa	Diffa
31	502	3117	Diffa	Diffa
31	502	3118	Diffa	Diffa
32	393	3202	Diffa	Diffa
32	393	3203	Diffa	Diffa
32	393	3204	Diffa	Diffa
32	393	3205	Diffa	Diffa
32	393	3207	Diffa	Diffa
32	393	3209	Diffa	Diffa
32	393	3211	Diffa	Diffa
32	393	3212	Diffa	Diffa
32	393	3213	Diffa	Diffa
32	393	3215	Diffa	Diffa
32	393	3216	Diffa	Diffa
33	464	3301	Diffa	Diffa
33	464	3302	Diffa	Diffa
33	464	3303	Diffa	Diffa
33	464	3304	Diffa	Diffa
33	464	3305	Diffa	Diffa
33	464	3306	Diffa	Diffa
33	464	3307	Diffa	Diffa
33	464	3309	Diffa	Diffa
33	464	3310	Diffa	Diffa
33	464	3311	Diffa	Diffa
33	464	3312	Diffa	Diffa
33	464	3313	Diffa	Diffa
33	464	3314	Diffa	Diffa
33	464	3315	Diffa	Diffa
33	464	3316	Diffa	Diffa
33	464	3318	Diffa	Diffa
34	425	3401	Maïné-Soroa	Maïné-Soroa
34	425	3403	Maïné-Soroa	Maïné-Soroa
34	425	3404	Maïné-Soroa	Maïné-Soroa
34	425	3405	Maïné-Soroa	Maïné-Soroa
34	425	3406	Maïné-Soroa	Maïné-Soroa
34	425	3407	Maïné-Soroa	Maïné-Soroa
34	425	3408	Maïné-Soroa	Maïné-Soroa
34	425	3409	Maïné-Soroa	Maïné-Soroa
34	425	3410	Maïné-Soroa	Maïné-Soroa
34	425	3411	Maïné-Soroa	Maïné-Soroa
34	425	3413	Maïné-Soroa	Maïné-Soroa
34	425	3414	Maïné-Soroa	Maïné-Soroa
34	425	3415	Maïné-Soroa	Maïné-Soroa
34	425	3416	Maïné-Soroa	Maïné-Soroa
34	425	3417	Maïné-Soroa	Maïné-Soroa
34	425	3418	Maïné-Soroa	Maïné-Soroa
35	277	3501	Maïné-Soroa	Maïné-Soroa
35	277	3502	Maïné-Soroa	Maïné-Soroa
35	277	3503	Maïné-Soroa	Maïné-Soroa
35	277	3504	Maïné-Soroa	Maïné-Soroa
35	277	3505	Maïné-Soroa	Maïné-Soroa
35	277	3506	Maïné-Soroa	Maïné-Soroa
35	277	3508	Maïné-Soroa	Maïné-Soroa
35	277	3510	Maïné-Soroa	Maïné-Soroa
35	277	3512	Maïné-Soroa	Maïné-Soroa
35	277	3513	Maïné-Soroa	Maïné-Soroa
35	277	3514	Maïné-Soroa	Maïné-Soroa
35	277	3515	Maïné-Soroa	Maïné-Soroa
35	277	3516	Maïné-Soroa	Maïné-Soroa
35	277	3517	Maïné-Soroa	Maïné-Soroa
35	277	3518	Maïné-Soroa	Maïné-Soroa
36	256	3601	Maïné-Soroa	Maïné-Soroa
36	256	3603	Maïné-Soroa	Maïné-Soroa
36	256	3604	Maïné-Soroa	Maïné-Soroa
36	256	3606	Maïné-Soroa	Maïné-Soroa
36	256	3607	Maïné-Soroa	Maïné-Soroa
36	256	3608	Maïné-Soroa	Maïné-Soroa
36	256	3609	Maïné-Soroa	Maïné-Soroa
36	256	3610	Maïné-Soroa	Maïné-Soroa
36	256	3612	Maïné-Soroa	Maïné-Soroa
36	256	3613	Maïné-Soroa	Maïné-Soroa
36	256	3614	Maïné-Soroa	Maïné-Soroa
36	256	3615	Maïné-Soroa	Maïné-Soroa
36	256	3616	Maïné-Soroa	Maïné-Soroa
36	256	3617	Maïné-Soroa	Maïné-Soroa
36	256	3618	Maïné-Soroa	Maïné-Soroa
37	163	3701	Diffa	Diffa
37	163	3702	Diffa	Diffa
37	163	3703	Diffa	Diffa
37	163	3704	Diffa	Diffa
37	163	3705	Diffa	Diffa
37	163	3706	Diffa	Diffa
37	163	3707	Diffa	Diffa
37	163	3708	Diffa	Diffa
37	163	3709	Diffa	Diffa
37	163	3710	Diffa	Diffa
37	163	3711	Diffa	Diffa
37	163	3712	Diffa	Diffa
37	163	3713	Diffa	Diffa
37	163	3714	Diffa	Diffa
37	163	3715	Diffa	Diffa
37	163	3716	Diffa	Diffa
37	163	3717	Diffa	Diffa
37	163	3718	Diffa	Diffa
38	225	3801	Diffa	Diffa
38	225	3802	Diffa	Diffa
38	225	3803	Diffa	Diffa
38	225	3804	Diffa	Diffa
38	225	3805	Diffa	Diffa
38	225	3806	Diffa	Diffa
38	225	3807	Diffa	Diffa
38	225	3808	Diffa	Diffa
38	225	3809	Diffa	Diffa
38	225	3810	Diffa	Diffa
38	225	3811	Diffa	Diffa
38	225	3812	Diffa	Diffa
38	225	3813	Diffa	Diffa
38	225	3814	Diffa	Diffa
38	225	3815	Diffa	Diffa
38	225	3816	Diffa	Diffa
38	225	3817	Diffa	Diffa
38	225	3818	Diffa	Diffa
39	194	3901	Diffa	Diffa
39	194	3902	Diffa	Diffa
39	194	3903	Diffa	Diffa
39	194	3904	Diffa	Diffa
39	194	3905	Diffa	Diffa
39	194	3906	Diffa	Diffa
39	194	3907	Diffa	Diffa
39	194	3908	Diffa	Diffa
39	194	3909	Diffa	Diffa
39	194	3910	Diffa	Diffa
39	194	3911	Diffa	Diffa
39	194	3912	Diffa	Diffa
39	194	3913	Diffa	Diffa
39	194	3914	Diffa	Diffa
39	194	3915	Diffa	Diffa
39	194	3916	Diffa	Diffa
39	194	3917	Diffa	Diffa
39	194	3918	Diffa	Diffa
40	193	4001	Maïné-Soroa	Maïné-Soroa
40	193	4002	Maïné-Soroa	Maïné-Soroa
40	193	4003	Maïné-Soroa	Maïné-Soroa
40	193	4004	Maïné-Soroa	Maïné-Soroa
40	193	4005	Maïné-Soroa	Maïné-Soroa
40	193	4006	Maïné-Soroa	Maïné-Soroa
40	193	4008	Maïné-Soroa	Maïné-Soroa
40	193	4010	Maïné-Soroa	Maïné-Soroa
40	193	4011	Maïné-Soroa	Maïné-Soroa
40	193	4013	Maïné-Soroa	Maïné-Soroa
40	193	4014	Maïné-Soroa	Maïné-Soroa
40	193	4016	Maïné-Soroa	Maïné-Soroa
40	193	4017	Maïné-Soroa	Maïné-Soroa
40	193	4018	Maïné-Soroa	Maïné-Soroa
41	147	4101	Maïné-Soroa	Maïné-Soroa
41	147	4102	Maïné-Soroa	Maïné-Soroa
41	147	4103	Maïné-Soroa	Maïné-Soroa
41	147	4105	Maïné-Soroa	Maïné-Soroa
41	147	4106	Maïné-Soroa	Maïné-Soroa
41	147	4107	Maïné-Soroa	Maïné-Soroa
41	147	4108	Maïné-Soroa	Maïné-Soroa
41	147	4110	Maïné-Soroa	Maïné-Soroa
41	147	4111	Maïné-Soroa	Maïné-Soroa
41	147	4112	Maïné-Soroa	Maïné-Soroa
41	147	4113	Maïné-Soroa	Maïné-Soroa
41	147	4114	Maïné-Soroa	Maïné-Soroa
41	147	4115	Maïné-Soroa	Maïné-Soroa
41	147	4116	Maïné-Soroa	Maïné-Soroa
41	147	4117	Maïné-Soroa	Maïné-Soroa
41	147	4118	Maïné-Soroa	Maïné-Soroa
42	198	4201	Maïné-Soroa	Maïné-Soroa
42	198	4202	Maïné-Soroa	Maïné-Soroa
42	198	4203	Maïné-Soroa	Maïné-Soroa
42	198	4204	Maïné-Soroa	Maïné-Soroa
42	198	4207	Maïné-Soroa	Maïné-Soroa
42	198	4209	Maïné-Soroa	Maïné-Soroa
42	198	4210	Maïné-Soroa	Maïné-Soroa
42	198	4211	Maïné-Soroa	Maïné-Soroa
42	198	4215	Maïné-Soroa	Maïné-Soroa
42	198	4216	Maïné-Soroa	Maïné-Soroa
42	198	4217	Maïné-Soroa	Maïné-Soroa
43	253	4302	Maïné-Soroa	Maïné-Soroa
43	253	4303	Maïné-Soroa	Maïné-Soroa
43	253	4304	Maïné-Soroa	Maïné-Soroa
43	253	4305	Maïné-Soroa	Maïné-Soroa
43	253	4306	Maïné-Soroa	Maïné-Soroa
43	253	4307	Maïné-Soroa	Maïné-Soroa
43	253	4308	Maïné-Soroa	Maïné-Soroa
43	253	4309	Maïné-Soroa	Maïné-Soroa
43	253	4310	Maïné-Soroa	Maïné-Soroa
43	253	4311	Maïné-Soroa	Maïné-Soroa
43	253	4313	Maïné-Soroa	Maïné-Soroa
43	253	4314	Maïné-Soroa	Maïné-Soroa
43	253	4315	Maïné-Soroa	Maïné-Soroa
43	253	4318	Maïné-Soroa	Maïné-Soroa
44	67	4401	Maïné-Soroa	Maïné-Soroa
44	67	4402	Maïné-Soroa	Maïné-Soroa
44	67	4403	Maïné-Soroa	Maïné-Soroa
44	67	4404	Maïné-Soroa	Maïné-Soroa
44	67	4405	Maïné-Soroa	Maïné-Soroa
44	67	4406	Maïné-Soroa	Maïné-Soroa
44	67	4407	Maïné-Soroa	Maïné-Soroa
44	67	4408	Maïné-Soroa	Maïné-Soroa
44	67	4409	Maïné-Soroa	Maïné-Soroa
44	67	4410	Maïné-Soroa	Maïné-Soroa
44	67	4412	Maïné-Soroa	Maïné-Soroa
44	67	4413	Maïné-Soroa	Maïné-Soroa
44	67	4414	Maïné-Soroa	Maïné-Soroa
44	67	4415	Maïné-Soroa	Maïné-Soroa
44	67	4416	Maïné-Soroa	Maïné-Soroa
44	67	4417	Maïné-Soroa	Maïné-Soroa
44	67	4418	Maïné-Soroa	Maïné-Soroa
46	16	4601	N'Guigmi	N'Guigmi
46	16	4602	N'Guigmi	N'Guigmi
46	16	4603	N'Guigmi	N'Guigmi
46	16	4604	N'Guigmi	N'Guigmi
46	16	4605	N'Guigmi	N'Guigmi
46	16	4606	N'Guigmi	N'Guigmi
46	16	4607	N'Guigmi	N'Guigmi
46	16	4608	N'Guigmi	N'Guigmi
46	16	4609	N'Guigmi	N'Guigmi
46	16	4610	N'Guigmi	N'Guigmi
46	16	4611	N'Guigmi	N'Guigmi
46	16	4612	N'Guigmi	N'Guigmi
46	16	4613	N'Guigmi	N'Guigmi
46	16	4614	N'Guigmi	N'Guigmi
46	16	4616	N'Guigmi	N'Guigmi
46	16	4617	N'Guigmi	N'Guigmi
46	16	4618	N'Guigmi	N'Guigmi
47	17	4701	N'Guigmi	N'Guigmi
47	17	4702	N'Guigmi	N'Guigmi
47	17	4703	N'Guigmi	N'Guigmi
47	17	4704	N'Guigmi	N'Guigmi
47	17	4705	N'Guigmi	N'Guigmi
47	17	4706	N'Guigmi	N'Guigmi
47	17	4707	N'Guigmi	N'Guigmi
47	17	4708	N'Guigmi	N'Guigmi
47	17	4709	N'Guigmi	N'Guigmi
47	17	4710	N'Guigmi	N'Guigmi
47	17	4711	N'Guigmi	N'Guigmi
47	17	4712	N'Guigmi	N'Guigmi
47	17	4713	N'Guigmi	N'Guigmi
47	17	4714	N'Guigmi	N'Guigmi
47	17	4715	N'Guigmi	N'Guigmi
47	17	4716	N'Guigmi	N'Guigmi
47	17	4718	N'Guigmi	N'Guigmi
48	42	4801	N'Guigmi	N'Guigmi
48	42	4803	N'Guigmi	N'Guigmi
48	42	4804	N'Guigmi	N'Guigmi
48	42	4805	N'Guigmi	N'Guigmi
48	42	4807	N'Guigmi	N'Guigmi
48	42	4808	N'Guigmi	N'Guigmi
48	42	4809	N'Guigmi	N'Guigmi
48	42	4810	N'Guigmi	N'Guigmi
48	42	4813	N'Guigmi	N'Guigmi
48	42	4814	N'Guigmi	N'Guigmi
48	42	4815	N'Guigmi	N'Guigmi
48	42	4816	N'Guigmi	N'Guigmi
48	42	4817	N'Guigmi	N'Guigmi
48	42	4818	N'Guigmi	N'Guigmi
49	29	4901	N'Guigmi	N'Guigmi
49	29	4902	N'Guigmi	N'Guigmi
49	29	4903	N'Guigmi	N'Guigmi
49	29	4904	N'Guigmi	N'Guigmi
49	29	4905	N'Guigmi	N'Guigmi
49	29	4906	N'Guigmi	N'Guigmi
49	29	4907	N'Guigmi	N'Guigmi
49	29	4908	N'Guigmi	N'Guigmi
49	29	4909	N'Guigmi	N'Guigmi
49	29	4910	N'Guigmi	N'Guigmi
49	29	4911	N'Guigmi	N'Guigmi
49	29	4912	N'Guigmi	N'Guigmi
49	29	4913	N'Guigmi	N'Guigmi
49	29	4914	N'Guigmi	N'Guigmi
49	29	4915	N'Guigmi	N'Guigmi
49	29	4916	N'Guigmi	N'Guigmi
49	29	4917	N'Guigmi	N'Guigmi
49	29	4918	N'Guigmi	N'Guigmi
50	62	5002	N'Guigmi	N'Guigmi
50	62	5003	N'Guigmi	N'Guigmi
50	62	5004	N'Guigmi	N'Guigmi
50	62	5005	N'Guigmi	N'Guigmi
50	62	5006	N'Guigmi	N'Guigmi
50	62	5007	N'Guigmi	N'Guigmi
50	62	5008	N'Guigmi	N'Guigmi
50	62	5009	N'Guigmi	N'Guigmi
50	62	5010	N'Guigmi	N'Guigmi
50	62	5011	N'Guigmi	N'Guigmi
50	62	5012	N'Guigmi	N'Guigmi
50	62	5013	N'Guigmi	N'Guigmi
50	62	5014	N'Guigmi	N'Guigmi
50	62	5015	N'Guigmi	N'Guigmi
50	62	5016	N'Guigmi	N'Guigmi
50	62	5017	N'Guigmi	N'Guigmi
50	62	5018	N'Guigmi	N'Guigmi
57	1055	5702	Dosso	Dosso
57	1055	5703	Dosso	Dosso
57	1055	5704	Dosso	Dosso
57	1055	5705	Dosso	Dosso
57	1055	5706	Dosso	Dosso
57	1055	5707	Dosso	Dosso
57	1055	5708	Dosso	Dosso
57	1055	5709	Dosso	Dosso
57	1055	5710	Dosso	Dosso
57	1055	5711	Dosso	Dosso
57	1055	5712	Dosso	Dosso
57	1055	5713	Dosso	Dosso
57	1055	5714	Dosso	Dosso
57	1055	5716	Dosso	Dosso
57	1055	5717	Dosso	Dosso
57	1055	5718	Dosso	Dosso
58	999	5801	Dosso	Dosso
58	999	5802	Dosso	Dosso
58	999	5803	Dosso	Dosso
58	999	5804	Dosso	Dosso
58	999	5805	Dosso	Dosso
58	999	5806	Dosso	Dosso
58	999	5807	Dosso	Dosso
58	999	5808	Dosso	Dosso
58	999	5809	Dosso	Dosso
58	999	5810	Dosso	Dosso
58	999	5811	Dosso	Dosso
58	999	5812	Dosso	Dosso
58	999	5813	Dosso	Dosso
58	999	5814	Dosso	Dosso
58	999	5815	Dosso	Dosso
58	999	5816	Dosso	Dosso
58	999	5817	Dosso	Dosso
58	999	5818	Dosso	Dosso
59	1015	5902	Dosso	Dosso
59	1015	5903	Dosso	Dosso
59	1015	5904	Dosso	Dosso
59	1015	5905	Dosso	Dosso
59	1015	5906	Dosso	Dosso
59	1015	5907	Dosso	Dosso
59	1015	5910	Dosso	Dosso
59	1015	5911	Dosso	Dosso
59	1015	5912	Dosso	Dosso
59	1015	5914	Dosso	Dosso
59	1015	5915	Dosso	Dosso
59	1015	5917	Dosso	Dosso
59	1015	5918	Dosso	Dosso
60	726	6001	Boboye	Boboye
60	726	6002	Boboye	Boboye
60	726	6004	Boboye	Boboye
60	726	6005	Boboye	Boboye
60	726	6006	Boboye	Boboye
60	726	6007	Boboye	Boboye
60	726	6008	Boboye	Boboye
60	726	6009	Boboye	Boboye
60	726	6010	Boboye	Boboye
60	726	6011	Boboye	Boboye
60	726	6012	Boboye	Boboye
60	726	6013	Boboye	Boboye
60	726	6014	Boboye	Boboye
60	726	6016	Boboye	Boboye
60	726	6017	Boboye	Boboye
61	1280	6101	Boboye	Boboye
61	1280	6102	Boboye	Boboye
61	1280	6103	Boboye	Boboye
61	1280	6104	Boboye	Boboye
61	1280	6105	Boboye	Boboye
61	1280	6106	Boboye	Boboye
61	1280	6107	Boboye	Boboye
